Player,Nationality,Position,Age,Matches_Played,Games_Started,Minutes_Played,Ninety_Minutes_Played,Goals,Assists,Goals_Plus_Assists,Non_Penalty_Goals,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,Goals_Per_90,Assists_Per_90,Goals_Plus_Assists_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goals_Plus_Assists_Per_90,Matches,Season,Team,MP
João Cancelo,pt POR,DF,31-333,10.0,7,574,6.4,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.16,0.31,0.47,0.16,0.47,Matches,2025-2026,FC Barcelona,10
Wojciech Szczęsny,pl POL,GK,36-007,6.0,6,540,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,FC Barcelona,6
Marc Bernal,es ESP,MF,18-334,17.0,6,531,5.9,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.34,0.17,0.51,0.34,0.51,Matches,2025-2026,FC Barcelona,17
Roony Bardghji,se SWE,"MF,FW",20-161,17.0,4,439,4.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.21,0.21,0.41,0.21,0.41,Matches,2025-2026,FC Barcelona,17
Andreas Christensen,dk DEN,DF,30-015,12.0,3,380,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,FC Barcelona,12
Gavi,es ESP,MF,21-263,6.0,2,197,2.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.46,0.46,0.0,0.46,Matches,2025-2026,FC Barcelona,6
Dro Fernández,es ESP,MF,18-103,4.0,1,92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,FC Barcelona,4
Xavi Espart,es ESP,DF,18-339,2.0,1,91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,FC Barcelona,2
Toni Fernández,es ESP,FW,17-284,1.0,1,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,FC Barcelona,1
Jofre Torrents,es ESP,DF,19-087,3.0,0,50,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,FC Barcelona,3
Tomas Marques,es ESP,MF,19-177,1.0,0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,FC Barcelona,1
Eder Aller,es ESP,GK,19-021,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,FC Barcelona,0
Alvaro Cortes,es ESP,DF,21-039,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,FC Barcelona,0
Guillermo Fernandez,es ESP,MF,17-311,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,FC Barcelona,0
Juan Hernández,es ESP,FW,18-278,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,FC Barcelona,0
Diego Kochen,us USA,GK,20-037,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,FC Barcelona,0
Iñaki Peña,es ESP,GK,27-054,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,FC Barcelona,0
Marc-André ter Stegen,de GER,GK,33-360,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,FC Barcelona,0
Ionuț Radu,ro ROU,GK,28-332,,32,"2,880",32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Celta Vigo,32
Marcos Alonso,es ESP,DF,35-118,,26,"2,333",25.9,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.04,0.0,0.04,0.0,0.0,Matches,2025-2026,Celta Vigo,27
Sergio Carreira,es ESP,MF,25-194,,24,"2,221",24.7,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.08,0.04,0.12,0.08,0.12,Matches,2025-2026,Celta Vigo,28
Javi Rodríguez,es ESP,DF,22-303,,22,"2,018",22.4,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2025-2026,Celta Vigo,27
Ilaix Moriba,gn GUI,MF,23-096,,21,"2,045",22.7,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.04,0.09,0.13,0.04,0.13,Matches,2025-2026,Celta Vigo,31
Óscar Mingueza,es ESP,"MF,DF",26-347,,19,"1,716",19.1,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,0.05,0.21,0.26,0.05,0.26,Matches,2025-2026,Celta Vigo,28
Ferran Jutglà,es ESP,"FW,MF",27-083,,18,"1,356",15.1,7.0,2.0,9.0,7.0,0.0,0.0,4.0,0.0,0.46,0.13,0.6,0.46,0.6,Matches,2025-2026,Celta Vigo,24
Borja Iglesias,es ESP,FW,33-098,,17,"1,575",17.5,11.0,2.0,13.0,8.0,3.0,3.0,6.0,0.0,0.63,0.11,0.74,0.46,0.57,Matches,2025-2026,Celta Vigo,29
Carl Starfelt,se SWE,DF,30-328,,17,"1,491",16.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Celta Vigo,19
Pablo Durán,es ESP,"FW,MF",24-335,,15,"1,239",13.8,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.15,0.15,0.29,0.15,0.29,Matches,2025-2026,Celta Vigo,25
Miguel Román,es ESP,MF,23-120,,14,"1,311",14.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,2025-2026,Celta Vigo,19
Hugo Sotelo,es ESP,MF,22-127,,14,"1,188",13.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,2025-2026,Celta Vigo,18
Bryan Zaragoza,es ESP,"FW,MF",24-228,,13,"1,131",12.6,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.08,0.08,0.16,0.0,0.08,Matches,2025-2026,Celta Vigo,19
Javi Rueda,es ESP,MF,23-352,,12,"1,160",12.9,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,0.16,0.31,0.47,0.16,0.47,Matches,2025-2026,Celta Vigo,22
Hugo Álvarez,es ESP,"FW,MF",22-297,,12,"1,073",11.9,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.25,0.08,0.34,0.25,0.34,Matches,2025-2026,Celta Vigo,22
Williot Swedberg,se SWE,"FW,MF",22-083,,10,"1,012",11.2,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,0.36,0.27,0.62,0.36,0.62,Matches,2025-2026,Celta Vigo,24
Manu Fernández,es ESP,DF,25-002,,9,713,7.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Celta Vigo,13
Iago Aspas,es ESP,"FW,MF",38-267,,8,878,9.8,4.0,3.0,7.0,2.0,2.0,2.0,3.0,0.0,0.41,0.31,0.72,0.21,0.51,Matches,2025-2026,Celta Vigo,26
Fer López,es ESP,"MF,FW",21-336,,8,723,8.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,2025-2026,Celta Vigo,11
Joseph Aidoo,gh GHA,DF,30-208,,7,639,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Celta Vigo,8
Fran Beltrán,es ESP,MF,27-081,,7,528,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Celta Vigo,10
Carlos Dominguez,es ESP,DF,25-073,,6,610,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Celta Vigo,8
Yoel Lago,es ESP,DF,22-031,,5,398,4.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Celta Vigo,6
Jones El-Abdellaoui,ma MAR,"MF,FW",20-103,,4,638,7.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.28,Matches,2025-2026,Celta Vigo,20
Mihailo Ristić,rs SRB,"MF,DF",30-176,,4,251,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Celta Vigo,4
Álvaro Núñez,es ESP,"DF,MF",25-292,,3,169,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Celta Vigo,3
Damián Rodríguez,es ESP,MF,23-039,,2,150,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Celta Vigo,2
Matías Vecino,uy URU,MF,34-244,,2,117,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Celta Vigo,4
Andrés Antañón,es ESP,FW,19-093,,1,63,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Celta Vigo,2
Hugo García,es ESP,MF,19-176,,0,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Celta Vigo,1
Ángel Arcos,es ESP,FW,20-007,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Celta Vigo,0
Franco Cervi,ar ARG,"FW,MF",31-334,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Celta Vigo,0
Hugo González,es ESP,FW,23-077,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Celta Vigo,0
Iván Villar,es ESP,GK,28-290,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Celta Vigo,0
Aleix Febas,es ESP,MF,30-082,31.0,31,"2,741",30.5,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,0.07,0.07,0.13,0.07,0.13,Matches,2025-2026,Elche CF,31
Germán Valera,es ESP,"MF,DF",24-040,31.0,29,"2,479",27.5,4.0,4.0,8.0,4.0,0.0,0.0,3.0,0.0,0.15,0.15,0.29,0.15,0.29,Matches,2025-2026,Elche CF,31
David Affengruber,at AUT,DF,25-037,30.0,27,"2,442",27.1,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.04,0.04,0.07,0.04,0.07,Matches,2025-2026,Elche CF,30
Marc Aguado,es ESP,MF,26-062,29.0,24,"2,009",22.3,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.04,0.04,0.09,0.04,0.09,Matches,2025-2026,Elche CF,29
Rafa Mir,es ESP,"FW,MF",28-311,27.0,21,"1,803",20.0,8.0,0.0,8.0,7.0,1.0,2.0,4.0,0.0,0.4,0.0,0.4,0.35,0.35,Matches,2025-2026,Elche CF,27
Pedro Bigas,es ESP,DF,35-222,23.0,20,"1,613",17.9,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.11,0.11,0.0,0.11,Matches,2025-2026,Elche CF,23
Víctor Chust,es ESP,DF,26-051,25.0,19,"1,832",20.4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Elche CF,25
Álvaro Rodríguez,uy URU,FW,21-285,28.0,19,"1,745",19.4,5.0,4.0,9.0,5.0,0.0,0.0,1.0,0.0,0.26,0.21,0.46,0.26,0.46,Matches,2025-2026,Elche CF,28
Álvaro Núñez,es ESP,"DF,MF",25-292,19.0,19,"1,647",18.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,2025-2026,Elche CF,19
Léo Pétrot,fr FRA,DF,29-010,29.0,17,"1,514",16.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Elche CF,29
André Silva,pt POR,FW,30-170,25.0,17,"1,457",16.2,9.0,0.0,9.0,7.0,2.0,2.0,2.0,0.0,0.56,0.0,0.56,0.43,0.43,Matches,2025-2026,Elche CF,25
Matías Dituro,ar ARG,GK,38-352,16.0,16,"1,440",16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Elche CF,16
Iñaki Peña,es ESP,GK,27-054,16.0,16,"1,440",16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Elche CF,16
Martim Neto,pt POR,MF,23-101,24.0,15,"1,314",14.6,2.0,5.0,7.0,2.0,0.0,0.0,2.0,0.0,0.14,0.34,0.48,0.14,0.48,Matches,2025-2026,Elche CF,24
Grady Diangana,cd COD,MF,28-006,17.0,11,763,8.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,2025-2026,Elche CF,17
Tete Morente,es ESP,MF,29-142,7.0,7,559,6.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.16,0.16,0.32,0.16,0.32,Matches,2025-2026,Elche CF,7
Adrià Pedrosa,es ESP,"DF,MF",27-347,21.0,6,890,9.9,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.1,0.1,0.2,0.1,0.2,Matches,2025-2026,Elche CF,21
Rodrigo Mendoza,es ESP,"MF,FW",21-041,16.0,6,794,8.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,2025-2026,Elche CF,16
John Donald,es ESP,"DF,MF",25-238,15.0,5,485,5.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches,2025-2026,Elche CF,15
Héctor Fort,es ESP,"DF,MF",19-266,9.0,5,327,3.6,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.28,0.55,0.83,0.28,0.83,Matches,2025-2026,Elche CF,9
Buba Sangaré,es ESP,"DF,MF",18-262,7.0,5,320,3.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Elche CF,7
Josan,es ESP,"MF,DF",36-143,16.0,4,514,5.7,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.35,0.35,0.0,0.35,Matches,2025-2026,Elche CF,16
Lucas Cepeda,cl CHI,MF,23-176,8.0,4,381,4.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.24,0.0,0.24,0.24,0.24,Matches,2025-2026,Elche CF,8
Yago Santiago,es ESP,MF,23-010,9.0,3,281,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Elche CF,9
Gonzalo Villar,es ESP,MF,28-033,6.0,2,237,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Elche CF,6
Ali Houary,ma MAR,MF,20-263,2.0,2,123,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Elche CF,2
Federico Redondo,ar ARG,MF,23-097,11.0,1,179,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Elche CF,11
Bambo Diaby,sn SEN,DF,28-129,4.0,1,102,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Elche CF,4
Adam Boayar,ma MAR,MF,20-194,7.0,0,104,1.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.87,0.0,0.87,0.87,0.87,Matches,2025-2026,Elche CF,7
Mourad El Ghezouani,ma MAR,FW,27-333,2.0,0,50,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Elche CF,2
Jairo Izquierdo,es ESP,"DF,FW",32-185,1.0,0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Elche CF,1
Álex Sánchez,es ESP,FW,20-051,1.0,0,6,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,15.0,Matches,2025-2026,Elche CF,1
Daniel Ballesteros,es ESP,FW,22-289,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Elche CF,0
David Delgado,es ESP,DF,18-114,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Elche CF,0
Pablo Felipe,es ESP,DF,20-310,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Elche CF,0
Alex Herráiz,,MF,,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Elche CF,0
Alejandro Iturbe,es ESP,GK,22-235,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Elche CF,0
Antonio Martínez,es ESP,MF,20-016,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Elche CF,0
Albert Niculaesei,ro ROU,DF,18-030,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Elche CF,0
Nico Salvador,es ESP,DF,20-238,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Elche CF,0
Bema Sina,gh GHA,DF,23-018,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Elche CF,0
Marko Dmitrović,rs SRB,GK,34-091,,32,"2,880",32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,RCD Espanyol,32
Leandro Cabrera,uy URU,DF,34-312,,31,"2,790",31.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,2025-2026,RCD Espanyol,31
Carlos Romero,es ESP,DF,24-178,,30,"2,667",29.6,5.0,2.0,7.0,5.0,0.0,0.0,4.0,0.0,0.17,0.07,0.24,0.17,0.24,Matches,2025-2026,RCD Espanyol,30
Omar El Hilali,ma MAR,DF,22-225,,27,"2,364",26.3,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,2025-2026,RCD Espanyol,30
Edu Expósito,es ESP,MF,29-267,,26,"2,055",22.8,1.0,6.0,7.0,1.0,0.0,0.0,7.0,0.0,0.04,0.26,0.31,0.04,0.31,Matches,2025-2026,RCD Espanyol,30
Pol Lozano,es ESP,MF,26-201,,26,"2,002",22.2,2.0,1.0,3.0,2.0,0.0,0.0,9.0,0.0,0.09,0.04,0.13,0.09,0.13,Matches,2025-2026,RCD Espanyol,29
Tyrhys Dolan,eng ENG,MF,24-118,,25,"2,100",23.3,1.0,4.0,5.0,1.0,0.0,0.0,6.0,1.0,0.04,0.17,0.21,0.04,0.21,Matches,2025-2026,RCD Espanyol,31
Urko González,es ESP,MF,25-036,,22,"2,090",23.2,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2025-2026,RCD Espanyol,29
Pere Milla,es ESP,"MF,FW",33-214,,22,"1,739",19.3,6.0,0.0,6.0,6.0,0.0,0.0,6.0,1.0,0.31,0.0,0.31,0.31,0.31,Matches,2025-2026,RCD Espanyol,28
Roberto Férnandez,es ESP,FW,23-296,,21,"2,019",22.4,6.0,2.0,8.0,5.0,1.0,1.0,3.0,0.0,0.27,0.09,0.36,0.22,0.31,Matches,2025-2026,RCD Espanyol,32
Fernando Calero,es ESP,DF,30-223,,20,"1,761",19.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,RCD Espanyol,23
Kiké,es ESP,FW,36-151,,15,"1,530",17.0,6.0,1.0,7.0,5.0,1.0,2.0,3.0,0.0,0.35,0.06,0.41,0.29,0.35,Matches,2025-2026,RCD Espanyol,31
Clemens Riedel,de GER,DF,22-280,,14,"1,216",13.5,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,2025-2026,RCD Espanyol,18
Jofre,es ESP,MF,24-312,,8,797,8.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,2025-2026,RCD Espanyol,22
Ramón Terrats,es ESP,MF,25-189,,8,775,8.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.12,0.12,0.23,0.12,0.23,Matches,2025-2026,RCD Espanyol,24
Javi Puado,es ESP,"MF,FW",27-335,,8,674,7.5,2.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.27,0.0,0.27,0.13,0.13,Matches,2025-2026,RCD Espanyol,10
Cyril Ngonge,be BEL,MF,25-334,,5,367,4.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.49,0.49,0.0,0.49,Matches,2025-2026,RCD Espanyol,8
Charles Pickel,cd COD,MF,28-345,,4,609,6.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.15,0.0,0.15,0.15,0.15,Matches,2025-2026,RCD Espanyol,19
Rubén,es ESP,DF,25-080,,4,532,5.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches,2025-2026,RCD Espanyol,16
José Salinas,es ESP,DF,25-207,,2,241,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,RCD Espanyol,10
Miguel Ángel Rubio,es ESP,DF,28-045,,1,206,2.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.44,0.0,0.44,0.44,0.44,Matches,2025-2026,RCD Espanyol,12
Antoniu,es ESP,MF,23-232,,1,115,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,RCD Espanyol,8
Luca Koleosho,it ITA,MF,21-222,,0,63,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,RCD Espanyol,3
Rafael Bauza,es ESP,MF,21-085,,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Espanyol,0
Lluc Castell,es ESP,FW,19-218,,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Espanyol,0
Fortuño,es ESP,GK,24-202,,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Espanyol,0
Ferran Gómez,es ESP,MF,20-033,,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Espanyol,0
Javier Hernández,es ESP,MF,22-085,,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Espanyol,0
Roger Hinojo,es ESP,DF,21-063,,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Espanyol,0
Miguel Londoño,es ESP,MF,19-114,,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Espanyol,0
Pablo Ramon,es ESP,DF,24-299,,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Espanyol,0
Llorenç Serred,es ESP,GK,20-233,,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Espanyol,0
Adama Timera,fr FRA,DF,21-016,,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Espanyol,0
Pol Tristán,es ESP,GK,24-038,,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Espanyol,0
David Soria,es ESP,GK,33-021,,32,"2,880",32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Getafe CF,32
Luis Milla,es ESP,MF,31-200,,31,"2,743",30.5,0.0,9.0,9.0,0.0,0.0,0.0,5.0,1.0,0.0,0.3,0.3,0.0,0.3,Matches,2025-2026,Getafe CF,31
Mauro Arambarri,uy URU,MF,30-207,,31,"2,719",30.2,6.0,2.0,8.0,4.0,2.0,2.0,5.0,0.0,0.2,0.07,0.26,0.13,0.2,Matches,2025-2026,Getafe CF,31
Iglesias,es ESP,"DF,MF",27-296,,30,"2,650",29.4,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches,2025-2026,Getafe CF,31
Domingos Duarte,pt POR,DF,31-046,,28,"2,402",26.7,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches,2025-2026,Getafe CF,28
Djené,tg TOG,"DF,MF",34-115,,28,"2,305",25.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Getafe CF,30
Kiko Femenía,es ESP,"DF,MF",35-082,,24,"1,918",21.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.05,0.05,0.09,0.05,0.09,Matches,2025-2026,Getafe CF,26
Mario Martín,es ESP,"MF,FW",22-051,,21,"1,728",19.2,2.0,1.0,3.0,2.0,0.0,0.0,9.0,0.0,0.1,0.05,0.16,0.1,0.16,Matches,2025-2026,Getafe CF,30
Adrián Liso,es ESP,"FW,MF",21-023,,19,"1,576",17.5,3.0,0.0,3.0,3.0,0.0,0.0,5.0,1.0,0.17,0.0,0.17,0.17,0.17,Matches,2025-2026,Getafe CF,26
Diego Rico,es ESP,DF,33-061,,18,"1,713",19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Getafe CF,27
Abdel Abqar,ma MAR,DF,27-046,,14,"1,151",12.8,0.0,2.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,0.16,0.16,0.0,0.16,Matches,2025-2026,Getafe CF,18
Martin Satriano,uy URU,"FW,MF",25-064,,13,"1,153",12.8,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,0.31,0.08,0.39,0.31,0.39,Matches,2025-2026,Getafe CF,13
Borja Mayoral,es ESP,FW,29-020,,12,"1,041",11.6,4.0,1.0,5.0,4.0,0.0,1.0,0.0,0.0,0.35,0.09,0.43,0.35,0.43,Matches,2025-2026,Getafe CF,14
Luis Vázquez,ar ARG,FW,25-001,,12,916,10.2,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.29,0.0,0.29,0.29,0.29,Matches,2025-2026,Getafe CF,12
Zaid Romero,ar ARG,DF,26-131,,11,989,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Getafe CF,11
Álex Sancris,es ESP,"MF,FW",29-097,,5,630,7.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.14,0.14,0.0,0.14,Matches,2025-2026,Getafe CF,15
Javier Muñoz,es ESP,"MF,FW",31-056,,4,512,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Getafe CF,15
