Player,Nationality,Position,Age,Matches_Played,Games_Started,Minutes_Played,Ninety_Minutes_Played,Goals,Assists,Goals_Plus_Assists,Non_Penalty_Goals,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,Goals_Per_90,Assists_Per_90,Goals_Plus_Assists_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goals_Plus_Assists_Per_90,Matches,Season,Team,MP
Eric García,es ESP,"DF,MF",25-106,30.0,28,"2,427",27.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches,2025-2026,FC Barcelona,30
Pau Cubarsí,es ESP,DF,19-093,27.0,27,"2,372",26.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,2025-2026,FC Barcelona,27
Joan García,es ESP,GK,24-356,26.0,26,"2,340",26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,FC Barcelona,26
Lamine Yamal,es ESP,"MF,FW",18-286,28.0,26,"2,262",25.1,16.0,11.0,27.0,13.0,3.0,4.0,1.0,0.0,0.64,0.44,1.07,0.52,0.95,Matches,2025-2026,FC Barcelona,28
Jules Koundé,fr FRA,DF,27-164,27.0,21,"2,022",22.5,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.04,0.13,0.18,0.04,0.18,Matches,2025-2026,FC Barcelona,27
Ferrán Torres,es ESP,FW,26-055,29.0,21,"1,749",19.4,14.0,1.0,15.0,14.0,0.0,0.0,2.0,0.0,0.72,0.05,0.77,0.72,0.77,Matches,2025-2026,FC Barcelona,29
Gerard Martín,es ESP,DF,24-058,27.0,21,"1,669",18.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,FC Barcelona,27
Pedri,es ESP,MF,23-151,24.0,19,"1,721",19.1,2.0,7.0,9.0,2.0,0.0,0.0,2.0,1.0,0.1,0.37,0.47,0.1,0.47,Matches,2025-2026,FC Barcelona,24
Dani Olmo,es ESP,"MF,FW",27-353,27.0,19,"1,686",18.7,7.0,7.0,14.0,7.0,0.0,0.0,0.0,0.0,0.37,0.37,0.75,0.37,0.75,Matches,2025-2026,FC Barcelona,27
Alejandro Balde,es ESP,DF,22-189,23.0,19,"1,644",18.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,2025-2026,FC Barcelona,23
Raphinha,br BRA,"MF,FW",29-132,20.0,17,"1,291",14.3,11.0,3.0,14.0,8.0,3.0,3.0,4.0,0.0,0.77,0.21,0.98,0.56,0.77,Matches,2025-2026,FC Barcelona,20
Frenkie de Jong,nl NED,MF,28-348,21.0,16,"1,520",16.9,1.0,5.0,6.0,1.0,0.0,0.0,4.0,1.0,0.06,0.3,0.36,0.06,0.36,Matches,2025-2026,FC Barcelona,21
Fermin López,es ESP,MF,22-349,26.0,15,"1,494",16.6,5.0,8.0,13.0,5.0,0.0,0.0,3.0,0.0,0.3,0.48,0.78,0.3,0.78,Matches,2025-2026,FC Barcelona,26
Marcus Rashford,eng ENG,"MF,FW",28-176,27.0,15,"1,460",16.2,6.0,6.0,12.0,6.0,0.0,0.0,2.0,0.0,0.37,0.37,0.74,0.37,0.74,Matches,2025-2026,FC Barcelona,27
Robert Lewandowski,pl POL,FW,37-247,25.0,12,"1,206",13.4,12.0,1.0,13.0,11.0,1.0,3.0,2.0,0.0,0.9,0.07,0.97,0.82,0.9,Matches,2025-2026,FC Barcelona,25
Ronald Araújo,uy URU,DF,27-049,20.0,10,958,10.6,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.28,0.0,0.28,0.28,0.28,Matches,2025-2026,FC Barcelona,20
Marc Casado,es ESP,MF,22-223,20.0,9,911,10.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,2025-2026,FC Barcelona,20
